	index	Air Date	Category	Value	Question	Answer
17	1092	2011-12-30	SILENT LETTERS	$600	"C-H: Named for a German botanist, this drooping flower seen <a href=""http://www.j-archive.com/media/2011-12-30_J_08.jpg"" target=""_blank"">here</a> lends its name to a vivid, purplish-red color"	fuschia
18	1093	2011-12-30	THE 1820s	$800	In 1822 French Egyptologist Jean Champollion published a paper on the translation of this artifact	the Rosetta Stone
19	1094	2011-12-30	COMPLETE THE MOVIE QUOTE	$800	"""Gone with the Wind"": ""As God is my witness... I'll never be ____ ____"""	hungry again
20	1095	2011-12-30	"""A""NATOMY"	$800	"The name of this body section is Latin for ""belly"""	the abdomen
21	1096	2011-12-30	THE MOST EXPENSIVE EVER	$800	The most expensive silent movie-era film ever made was this $4 million epic; did we mention the chariot race?	Ben-Hur
22	1097	2011-12-30	MUSEUMS OF GERMANY	$1,000	A Mainz museum honoring this most famous son traces the history of printing & has a replica of his press on display	Gutenberg
23	1098	2011-12-30	SILENT LETTERS	$800	S: This title of nobility ranks just below earl	viscount
24	1099	2011-12-30	THE 1820s	$1000	"The first issue of this ""incisive"" British medical journal was published on October 5, 1823"	Lancet
25	1100	2011-12-30	COMPLETE THE MOVIE QUOTE	$1000	"""All About Eve"": ""Fasten your seat belts.  It's going to be a ____ ____"""	bumpy night
26	1101	2011-12-30	"""A""NATOMY"	$1000	Gas exchange occurs in these tiny, thin-walled sacs in the lungs	alveoli
27	1102	2011-12-30	THE MOST EXPENSIVE EVER	$1000	The most expensive aircraft ever built is this alphanumerically named stealth bomber, at $2 billion apiece	the B-2
28	1103	2011-12-30	MUSEUMS OF GERMANY	$1000	This city's Bavarian National Museum was created in 1855 by Maximilian II to preserve Bavaria's artistic treasures	Munich
29	1104	2011-12-30	SILENT LETTERS	$1000	"B: He's the Zap Comix artist whose distinctive satirical work is seen <a href=""http://www.j-archive.com/media/2011-12-30_J_10.jpg"" target=""_blank"">here</a>"	Robert Crumb (or R. Crumb)
30	1105	2011-12-30	NATIONAL PARKS OF THE WORLD	$400	New Zealand's smallest park is named for this Dutchman who became the first European to see the country	(Abel) Tasman
31	1106	2011-12-30	BRITISH NOVELS BY CHARACTERS	$400	Charles Marlow & Mr. Kurtz	Heart of Darkness
32	1107	2011-12-30	"""RE""SEARCH"	$400	You'll be a slug in your next life if you can't tell me this term for the soul coming back in a new form	reincarnation
33	1108	2011-12-30	THINK OF THE CHILDREN!	$400	Victoria & Albert: Alice, Alfred, Arthur, Beatrice, Helena, Louise, Leopold, Victoria Adelaide & this king	Edward
34	1109	2011-12-30	AT BAT	$400	Mickey Mantle & Pete Rose were this kind of hitter who changes sides of the plate depending on the pitcher	a switch-hitter
35	1110	2011-12-30	ON DECK	$400	Fractional term for part of a naval vessel usually reserved for officers	the quarterdeck
36	1111	2011-12-30	NATIONAL PARKS OF THE WORLD	$800	"South Africa's Richtersveld National Park is partially located within a loop of this ""colorful"" river"	the Orange River
37	1112	2011-12-30	BRITISH NOVELS BY CHARACTERS	$800	Cedric the Saxon, Rebecca, Lady Rowena	Ivanhoe
38	1113	2011-12-30	"""RE""SEARCH"	$800	"On an invitation, the phrase these ""only"" means we assume you're coming, but let us know if you're not"	regrets
39	1114	2011-12-30	THINK OF THE CHILDREN!	$800	Abraham Lincoln & Mary Todd: Edward, Willie, Tad & this boy, the only one to survive to adulthood	Robert Todd Lincoln
40	1115	2011-12-30	AT BAT	$800	Jim Rice was so powerful, he broke a bat without hitting the ball on one of these, a swing the batter tries to stop	a checked swing
41	1116	2011-12-30	ON DECK	$800	The USS Nimitz carries 90 arircraft on this aptly named deck; its area takes up about 4.5 acres	the flight deck
42	1117	2011-12-30	NATIONAL PARKS OF THE WORLD	$3,000	The largest national park lies on this island; at 375,000 square miles, it occupies about 45% of this island's area	Greenland
43	1118	2011-12-30	BRITISH NOVELS BY CHARACTERS	$1200	Charles Ryder, Lord & Lady Marchmain	Brideshead Revisited
44	1119	2011-12-30	"""RE""SEARCH"	$1200	"In music production, ""wet"" & ""dry"" refer to sound with more or less of this effect--ect--ect"	reverberation
45	1120	2011-12-30	THINK OF THE CHILDREN!	$1200	Noah & an unnamed Biblical woman: Japheth & these 2 other fellas	Shem & Ham
46	1121	2011-12-30	AT BAT	$1200	Many hitters try to gain an advantage by scratching the back line of this	the batter's box
47	1122	2011-12-30	ON DECK	$4,200	A type of walk, or an upper deck on a passenger ship where folks can stroll	the promenade deck
48	1123	2011-12-30	"""RE""SEARCH"	$1600	The Civil War-era Henry was one of the first of this type of rifle that you didn't have to keep reloading	a repeater
49	1124	2011-12-30	AT BAT	$1600	A 2004 at-bat by the tenacious Alex Cora went ball, strike, ball, 14 of these, home run	foul balls
50	1125	2011-12-30	ON DECK	$1600	This term for a sailor's quarters near the bow can be said using either 2 or 3 syllables	forecastle (or fo'c'stle)
51	1126	2011-12-30	NATIONAL PARKS OF THE WORLD	$2000	"The 3 ""lakes of"" this Irish national park are Upper Lake, Muckross Lake & Lough Leane"	Killarney National Park
52	1127	2011-12-30	BRITISH NOVELS BY CHARACTERS	$2000	Christian, Evangelist, Mr. Worldly Wiseman	Pilgrim's Progress
53	1128	2011-12-30	"""RE""SEARCH"	$2000	It's the term for sums of money sent back to their homelands by immigrants in the U.S.	remittances
54	1129	2011-12-30	AT BAT	$2000	At age 90, this Cardinal legend who hit safely over 3,600 times appeared at the 2011 World Series	"Stan ""The Man"" Musial"
55	1130	2011-12-30	ON DECK	$2000	As its name indicates, this 3-letter deck on old warships had cannons end to end	the gun deck
56	1131	2011-12-29	I THINK I LOVE SHOE	$200	Tassel-top, chain & penny are variations of this shoe	loafers
57	1132	2011-12-29	KENTUCKY KERNELS	$200	Born in Kentucky the year before Lincoln, he became president the same year as Lincoln & died 24 years after Lincoln	Jefferson Davis
58	1133	2011-12-29	EPONYMS	$200	This -ism named for a legendary soldier devoted to Napoleon can mean the belief that one's gender is superior	chauvinism
59	1134	2011-12-29	OFFICIAL BRITISH ROYAL POSTS	$200	This verse job is awarded on the advice of the prime minister / Whose motives may be underhanded, even sinister	Poet Laureate
60	1135	2011-12-29	CHILDREN'S LIT	$200	"In a kids' book, this plaza dweller ""takes a bawth"""	Eloise
61	1136	2011-12-29	THAT SMELLS... LIKE A CELEBRITY!	$200	"Does this movie character's ""Mojo"" cologne make you hor--uh... smell good?  Yeah, baby!"	Austin Powers
62	1137	2011-12-29	I THINK I LOVE SHOE	$400	"Have a unique fashion sense?  Into rubber sole?  Then the shoe seen <a href=""http://www.j-archive.com/media/2011-12-29_J_09.jpg"" target=""_blank"">here</a>, used in this sport, is for you"	bowling
63	1138	2011-12-29	KENTUCKY KERNELS	$400	Half of a deadly feud, this family lived primarily in Kentucky; their rivals, in West Virginia	the McCoys
64	1139	2011-12-29	EPONYMS	$400	To execute without due process, especially by hanging; it was named for a Virginian who was allowed to do it	to lynch
65	1140	2011-12-29	OFFICIAL BRITISH ROYAL POSTS	$400	Each earning &#163;3.50 a year in a ceremonial post, royal watermen play a part in any state occasion on this river	the Thames
66	1141	2011-12-29	CHILDREN'S LIT	$400	"""A Proud Taste for Scarlet and Miniver"" is about 12th century queen Eleanor of this duchy"	Aquitaine
67	1142	2011-12-29	THAT SMELLS... LIKE A CELEBRITY!	$400	Bend your nasal passages with this soccer guy's floral scent for ladies or aromatic scent for the blokes	(David) Beckam
68	1143	2011-12-29	I THINK I LOVE SHOE	$600	This 4-letter word describes a high-heeled, slip-on shoe with a low-cut or V-shaped throat	a pump
69	1144	2011-12-29	KENTUCKY KERNELS	$600	In 1883 Thomas Edison showed off his light bulb at the southern exposition in this largest Kentucky city	Louisville
70	1145	2011-12-29	EPONYMS	$600	A Greek god who was half man, half goat & known for causing terror gives us this word for sudden terror	panic
71	1146	2011-12-29	OFFICIAL BRITISH ROYAL POSTS	$600	Tom!  Tom!  You can be the son of the queen's this, if dad's musically inclined & in the armed forces	the piper
72	1147	2011-12-29	CHILDREN'S LIT	$600	"Chapter I of this Lewis Carroll book says, ""the glass was beginning to melt away, just like a bright silvery mist"""	Through the Looking Glass
73	1148	2011-12-29	THAT SMELLS... LIKE A CELEBRITY!	$600	"This singer believes ""you are beautiful, no matter what they say"", especially with her ""Inspire"" floral scent"	Christina Aguilera
74	1149	2011-12-29	I THINK I LOVE SHOE	$800	Named for a Buster Brown girl, this low-heeled, patent leather slipper has a single strap over the instep	a Mary Jane
75	1150	2011-12-29	KENTUCKY KERNELS	$800	In 1775 he blazed a trail through Kentucky that became known as the Wilderness Road	(Daniel) Boone
76	1151	2011-12-29	EPONYMS	$800	"The 9th century ""Apostle of the Slavs"" gave his name to this alphabet used by the Slavs"	Cyrillic
77	1152	2011-12-29	OFFICIAL BRITISH ROYAL POSTS	$800	Not the Master of the House, but the Master of the this is responsible for the sovereign's carriages & certain animals	Horse
78	1153	2011-12-29	CHILDREN'S LIT	$800	Sara Crewe is the little title character of this classic by Frances Hodgson Burnett	A Little Princess
79	1154	2011-12-29	THAT SMELLS... LIKE A CELEBRITY!	$800	"Everyone nose this Yankee shortstop is ""Driven""; now no one can ever say he stinks"	(Derek) Jeter
80	1155	2011-12-29	I THINK I LOVE SHOE	$1000	You can recognize this French designer's chic shoes by the trademark red soles	Louboutin
81	1156	2011-12-29	KENTUCKY KERNELS	$1000	Not cotton but this rope-making plant was king in antebellum Kentucky, which grew almost all the USA's supply	hemp
82	1157	2011-12-29	EPONYMS	$1000	This setter dog breed was developed in Scotland & named for the nobleman who popularized it in the early 19th c.	the Gordon setter
83	1158	2011-12-29	OFFICIAL BRITISH ROYAL POSTS	$2,000	"Edmund Halley was the second this ""Royal"" from 1720 to 1742"	the Astronomer Royal (the Royal Astronomer accepted)
84	1159	2011-12-29	CHILDREN'S LIT	$1000	A ravenous insect larva consumes a ton of food & undergoes metamorphosis in this classic by Eric Carle	The Very Hungry Caterpillar
85	1160	2011-12-29	THAT SMELLS... LIKE A CELEBRITY!	$1000	"Get this ""U Remind Me"" R&B singer's eau de toilette for dad... then explain he's not a guy who works in a movie theater"	Usher
86	1161	2011-12-29	OPERA	$400	This title character is sent to fetch Isolde, his uncle King Mark's intended bride	Tristan
87	1162	2011-12-29	SCIENTISTS	$400	In 1727 this physicist became the first scientist buried in Westminster Abbey	Newton
88	1163	2011-12-29	"""D-O"""	$400	"It precedes ""tranquility"" in the preamble of the Constitution"	domestic
89	1164	2011-12-29	DAYLIGHT COME	$400	A dawn event, or a Florida city of 84,000	Sunrise
90	1165	2011-12-29	ME WANNA GO HOME	$400	"The ""wine"" is too warm in the Transylvanian Alps of this country, & why do I have to carry garlic?  Me wanna go home"	Romania
91	1166	2011-12-29	OPERA	$800	She's a slave to Amneris, an Egyptian princess	Aida
92	1167	2011-12-29	SCIENTISTS	$800	"(<a href=""http://www.j-archive.com/media/2011-12-29_DJ_12.jpg"" target=""_blank"">Sarah of the Clue Crew hovers over Rio de Janeiro, Brazil in a helicopter.</a>)  To switch on floodlights for Christ the Redeemer's dedication in 1931, <a href=""http://www.j-archive.com/media/2011-12-29_DJ_12a.jpg"" target=""_blank"">this</a> radio pioneer sent shortwave signals from Naples"	Marconi
93	1168	2011-12-29	"""D-O"""	$800	A lump or blob of something, like whipped cream	a dollop
94	1169	2011-12-29	DAYLIGHT COME	$800	"""Light's glittering morn bedecks the sky"", says a hymn for lauds, also called morning this"	prayers
95	1170	2011-12-29	ME WANNA GO HOME	$800	The summers are nice in this capital of Manitoba--that's when I should have come. Me wanna go home	Winnipeg
96	1171	2011-12-29	OPERA	$1200	Alban Berg's 1937 opera is a real doozy, or a real this, the double-talk name of its title character	Lulu
97	1172	2011-12-29	SCIENTISTS	$1200	"Scientist & author Temple Grandin overcame this alienating condition, from the Greek for ""self"" or ""same"""	autism
98	1173	2011-12-29	"""D-O"""	$1200	It's a file of documents on a particular subject or person	a dossier
99	1174	2011-12-29	DAYLIGHT COME	$1200	"Daylight comes, & it's time for <a href=""http://www.j-archive.com/media/2011-12-29_DJ_18.jpg"" target=""_blank"">this</a> <a href=""http://www.j-archive.com/media/2011-12-29_DJ_18a.jpg"" target=""_blank"">mix</a> of martial arts & exercise, whose name means ""supreme ultimate fist"""	tai chi
100	1175	2011-12-29	ME WANNA GO HOME	$1200	Got sunburned visiting the beach of this most populous Brazilian city; home please!	São Paulo
101	1176	2011-12-29	OPERA	$1600	Gingerbread figures turn back into boys & girls when the witch's spell is broken in this opera	Hansel and Gretel
102	1177	2011-12-29	SCIENTISTS	$1600	In the 2nd century this Alexandrian astronomer catalogued 47 of the 88 constellations we know today	Ptolemy
103	1178	2011-12-29	THE THIRD-MOST POPULAR PRESIDENTIAL CHOICE	$3,000	Strom Thurmond	Harry Truman
104	1179	2011-12-29	"""D-O"""	$1600	"Small ""coins"" thrown from Mardi Gras floats"	doubloons
105	1180	2011-12-29	DAYLIGHT COME	$3,000	When in Rome, Eos, goddess of dawn, went by this name	Aurora
106	1181	2011-12-29	ME WANNA GO HOME	$1600	"The seafood was great, the tequila too much in this ""True Cross"" city on the Gulf of Mexico; me wanna go home"	Veracruz
107	1182	2011-12-29	OPERA	$2000	"(<a href=""http://www.j-archive.com/media/2011-12-29_DJ_11.jpg"" target=""_blank"">Alex gives the clue from the Metropolitan Opera in New York.</a>)  The Met's production ""Enchanted Island"" is a version of ""The Tempest"", & the costume I'm wearing belongs to this magician, who rules the island"	Prospero
108	1183	2011-12-29	SCIENTISTS	$2000	In 1986 Ernst Ruska received the Nobel Prize in Physics for his development of this type of microscope 53 years earlier	an electron microscope
109	1184	2011-12-29	THE THIRD-MOST POPULAR PRESIDENTIAL CHOICE	$2000	John B. Anderson	Reagan
110	1185	2011-12-29	"""D-O"""	$2000	This word for a wild brawl is from the name of a Dublin fair	donnybrook
111	1186	2011-12-29	DAYLIGHT COME	$2000	"This author says the cells in the skin of some of her characters are ""reflective like crystal"" & sparkle in daylight"	(Stephenie) Meyer
112	1187	2011-12-29	ME WANNA GO HOME	$2000	If you can't stand the heat either, then let's caravan out of this fabled city at the center of Mali; me wanna go home	Timbuktu
113	1188	2011-12-28	AROUND THE FARM	$200	A moving platform, or a tall warehouse for grain	an elevator
114	1189	2011-12-28	MONSTERS OF ROCK	$200	"In a 1977 hit, Blue Oyster Cult sang, ""Oh, no!  There goes Tokyo!  Go, go"" this monster"	Godzilla
115	1190	2011-12-28	UNCOMMON BONDS	$200	J. Max Bond Jr., who helped design the National September 11 Memorial, was a 1980-86 member of this city's Planning Commission	New York
116	1191	2011-12-28	"""NEW"" U.S. CITIES"	$200	Yale University was around for 15 years before it moved to this city in 1716	New Haven
117	1192	2011-12-28	POTPOURRI	$200	A verbal prompt for an actor	a cue
118	1193	2011-12-28	DOUBLE DOUBLE LETTERS	$200	Not much to spit out--Tiffany & crimson trio are this type of watermelon	seedless
119	1194	2011-12-28	AROUND THE FARM	$400	The air tractor is one of these low flyers that spread pesticide	a crop duster
120	1195	2011-12-28	MONSTERS OF ROCK	$400	"A 2008 tune by Benji Hughes warns that when this ancient Egyptian ghoulie gets drunk, ""he unravels"""	the Mummy
121	1196	2011-12-28	UNCOMMON BONDS	$400	Later jailed for fraud, Australian Alan Bond became a national hero for financing the 1983 capture of this sailing trophy	America's Cup
122	1197	2011-12-28	"""NEW"" U.S. CITIES"	$400	The 33-story World Trade Center building rises at the south end of Canal Street in this city, y'all	New Orleans
123	1198	2011-12-28	POTPOURRI	$400	"From the Latin for ""tail"", it's what the Brits stand in to get in to see a movie"	a queue
124	1199	2011-12-28	DOUBLE DOUBLE LETTERS	$400	The katydid is also called the long-horned this	a grasshopper
125	1200	2011-12-28	AROUND THE FARM	$600	This farm machine that travels along cutting standing grain shares a name with a grim angel of death	a reaper
126	1201	2011-12-28	MONSTERS OF ROCK	$600	This Warren Zevon song about monsters includes one with perfect hair & a taste for pina coladas	"""Werewolves Of London"""
127	1202	2011-12-28	UNCOMMON BONDS	$600	Born to the role: Samantha Bond has played this secretary in 4 007 films	Moneypenny
128	1203	2011-12-28	"""NEW"" U.S. CITIES"	$600	This New Jersey city boasts an international airport & the 360-acre Branch Brook Park	Newark
129	1204	2011-12-28	POTPOURRI	$600	"The actress seen <a href=""http://www.j-archive.com/media/2011-12-28_J_28.jpg"" target=""_blank"">here</a>, a star in Hong Kong & then on American TV, goes by this 1-letter last name"	Q.
130	1205	2011-12-28	DOUBLE DOUBLE LETTERS	$600	Vivaldi composed some 39 concertos for this woodwind instrument	the bassoon
131	1206	2011-12-28	AROUND THE FARM	$800	"Like the ones seen <a href=""http://www.j-archive.com/media/2011-12-28_J_24.jpg"" target=""_blank"">here</a>, it's a maintained wetland used for farming, especially where rice is grown"	a paddy
132	1207	2011-12-28	MONSTERS OF ROCK	$800	"Their monster '60s hits included ""She's Not There"" & ""Time Of The Season"""	The Zombies
133	1208	2011-12-28	UNCOMMON BONDS	$800	From 1900 to 1909 Sir Robert Bond was prime minister of this British colony, now the newest Canadian province	Newfoundland
134	1209	2011-12-28	"""NEW"" U.S. CITIES"	$800	The U.S. Naval War College & Naval Undersea Warfare Center is in this city on Narragansett Bay	Newport
135	1210	2011-12-28	POTPOURRI	$800	It's a rowing team or all of the personnel serving aboard a ship	a crew
136	1211	2011-12-28	DOUBLE DOUBLE LETTERS	$800	Appraise a piece of property for taxation purposes, or evaluate the situation	assess
137	1212	2011-12-28	AROUND THE FARM	$1000	"These 4 letters precede ""tiller"" to indicate it has spinning blades attached for cultivating soil"	roto
138	1213	2011-12-28	MONSTERS OF ROCK	$1000	This 1973 Edgar Winter Group No. 1 got its title from all the cutting & splicing done to it in the editing process	"""Frankenstein"""
139	1214	2011-12-28	UNCOMMON BONDS	$1000	At the 1968 Democratic Convention, this future NAACP chairman was briefly considered for vice president	Julian Bond
140	1215	2011-12-28	"""NEW"" U.S. CITIES"	$1,200	Somewhat ironically, this Connecticut city was attacked, captured & burned by the British in 1781	New London
141	1216	2011-12-28	POTPOURRI	$1000	Royal Botanical Gardens of southwest London	the Kew Gardens
142	1217	2011-12-28	DOUBLE DOUBLE LETTERS	$1000	"In 1903 Sherlock Holmes retired to Sussex to take up this ""busy"" hobby"	beekeeping
143	1218	2011-12-28	THE HOST WITH THE MOST	$400	Ted Koppel,  1980-2005	Nightline
144	1219	2011-12-28	6-SYLLABLE WORDS	$400	Adjective for school activities that aren't class	extracurricular
145	1220	2011-12-28	AUTHORS NOT WRITING	$400	In 1848, the year he turned 13, he became a printer's apprentice for Joseph Ament's Missouri Courier	(Mark) Twain
146	1221	2011-12-28	CENTERS OF POWER	$400	The Kingston Fossil Power Plant in Tennessee burns 14,000 tons of this a day	coal
147	1222	2011-12-28	ORANGE YOU HUNGRY?	$400	If you separate out these rhyming candies, you'll get about half orange ones, 1/4 brown & 1/4 yellow	Reese's Pieces
148	1223	2011-12-28	THIS... IS... HEGEMONY!	$400	Around 274 B.C. this republic, which later went full-blown empire, gained dominance over Italy with the defeat of Pyrrhus	the Roman Empire
149	1224	2011-12-28	THE HOST WITH THE MOST	$800	Peter Marshall,  1966-1982	Hollywood Squares
150	1225	2011-12-28	6-SYLLABLE WORDS	$800	It's a noun meaning anything that can't happen	impossibility
151	1226	2011-12-28	CENTERS OF POWER	$800	The Belwind Offshore Wind Farm, Bel for Belgium, is in this sea	the North Sea
152	1227	2011-12-28	ORANGE YOU HUNGRY?	$800	A Kraft favorite debuted in 1937 containing this food in orange powder form	cheese
153	1228	2011-12-28	THIS... IS... HEGEMONY!	$800	After the Battle of Kosovo in 1389, the Serbs fell under the hegemony of this empire of nomadic Turks	the Ottomans
154	1229	2011-12-28	THE HOST WITH THE MOST	$1200	Chris Harrison,  2002-present	The Bachelor
155	1230	2011-12-28	6-SYLLABLE WORDS	$1200	Heidegger espoused this philosophy that stresses individual choice	existentialism
156	1231	2011-12-28	AUTHORS NOT WRITING	$1200	"She taught at Howard University before writing ""Song of Solomon"""	Toni Morrison
157	1232	2011-12-28	CENTERS OF POWER	$1200	The DeSoto Next Generation Solar Energy Center has over 90,000 solar these--aiieee!  Turn it away!  I'm going blind!	panels
158	1233	2011-12-28	ORANGE YOU HUNGRY?	$1200	Orange chicken is the most popular item at this restaurant founded by Andrew Cherng	Panda Express
159	1234	2011-12-28	THIS... IS... HEGEMONY!	$1200	In 386 B.C. Persia ratified this city-state's hegemony, about 100 years too late for Leonidas & his 300	Sparta
160	1235	2011-12-28	THE HOST WITH THE MOST	$1600	Jim McKay,  1961-1998	ABC's Wide World of Sports
161	1236	2011-12-28	6-SYLLABLE WORDS	$1600	To have an insufficient amount of startup cash for a business enterprise	undercapitalize
162	1237	2011-12-28	AUTHORS NOT WRITING	$3,000	In WWII he flew 60 combat missions as a bombardier with the U.S. Army Air Forces in Europe	Joseph Heller
163	1238	2011-12-28	CENTERS OF POWER	$5,000	"(<a href=""http://www.j-archive.com/media/2011-12-28_DJ_17.jpg"" target=""_blank"">Alex reports from aboard the Maid of the Mist at Niagara Falls.</a>)  The huge hydroelectric potential of the falls led to a war of inventors; it was only settled when Westinghouse was given the right to build the A.C. generators that were designed & patented by this man"	Tesla
164	1239	2011-12-28	ORANGE YOU HUNGRY?	$1600	"The country tune ""Song Of The South"" mentions pie made from this tuber"	sweet potato
165	1240	2011-12-28	THIS... IS... HEGEMONY!	$1600	In October 1919 he reorganized his political party, the Kuomintang, & was communism's rival for power in China	Sun Yat-sen
166	1241	2011-12-28	THE HOST WITH THE MOST	$2000	Ed McMahon,  1983-1995	Star Search
167	1242	2011-12-28	6-SYLLABLE WORDS	$2000	When a man sees a woman only as a thing serving his needs, not as a person, that's this process	objectification
168	1243	2011-12-28	AUTHORS NOT WRITING	$2000	In 1824 his dad was thrown into debtor's prison; he was withdrawn from school & forced to work in a factory	Dickens
169	1244	2011-12-28	CENTERS OF POWER	$2000	One of the worst nuclear accidents in history took place in 2011 at this Japanese plant No. 1	Fukushima
170	1245	2011-12-28	ORANGE YOU HUNGRY?	$2000	In Yiddish tsorres (trouble) should not be confused with tsimmes, a stew containing mern, these veggies	carrots
171	1246	2011-12-28	THIS... IS... HEGEMONY!	$2000	In the first half of the 3rd millennium B.C., this 2-letter city established its hegemony over the rest of Sumer	Ur
172	1247	2011-12-27	MUSICAL INSTRUMENTS	$200	The first official list of military calls for this trumpet-like valveless instrument was issued in 1798	the bugle
173	1248	2011-12-27	TALKING ITALIAN	$200	"""Grazie"" & ""prego"" translate to these 2 2-word companion phrases"	thank you & you're welcome
174	1249	2011-12-27	DECADES OF DISASTER	$200	Pearl Harbor is attacked	the 1940s
175	1250	2011-12-27	FOOD PREPARATION	$200	To slice a tomato, use a knife with this type of edge for a clean cut	a serrated edge
176	1251	2011-12-27	LESSER-KNOWN AMERICANS	$200	John T. Dorrance, a chemist who studied cooking in Paris, developed the first canned soups for this brand	Campbell's
177	1252	2011-12-27	TIPS ON NETWORKING	$200	"Snarl along with ""Big Cat Diary"" & ""Pit Bulls and Parolees"""	Animal Planet
178	1253	2011-12-27	MUSICAL INSTRUMENTS	$400	A violin body amplifies the sound escaping from the 2 holes usually called these, as they resemble an italicized letter	the f-holes
179	1254	2011-12-27	TALKING ITALIAN	$400	"You oughta know ""otto"" is Italian for this number"	eight
180	1255	2011-12-27	DECADES OF DISASTER	$400	The Space Shuttle Challenger explodes	the 1980s
181	1256	2011-12-27	FOOD PREPARATION	$400	"(<a href=""http://www.j-archive.com/media/2011-12-27_J_24.jpg"" target=""_blank"">Sarah of the Clue Crew holds a payapa in a forest in Molokai, HI.</a>)  An enzyme called papain in the <a href=""http://www.j-archive.com/media/2011-12-27_J_24a.jpg"" target=""_blank"">leaves</a> & <a href=""http://www.j-archive.com/media/2011-12-27_J_24b.jpg"" target=""_blank"">green skin</a> of raw papaya can be used as one of these food preparations as it breaks down the connective tissue of meats"	a tenderizer
182	1257	2011-12-27	LESSER-KNOWN AMERICANS	$400	"In the 1940s Stetson Kennedy infiltrated this group, whom he mocked as the ""Dumb Klux"""	the KKK (Ku Klux Klan)
183	1258	2011-12-27	TIPS ON NETWORKING	$400	"At least grin at ""Workaholics"" & ""Nick Swardson's Pretend Time"""	Comedy Central
184	1259	2011-12-27	MUSICAL INSTRUMENTS	$600	"Fife & drum corps often use this higher-pitched woodwind whose name means ""small"""	a piccolo
185	1260	2011-12-27	TALKING ITALIAN	$600	"A journalist would uncover that ""chi"" , ""che"", ""quando"", ""dove"" & ""perché"" translate to these 5 terms"	who, what, where, why & when
186	1261	2011-12-27	DECADES OF DISASTER	$600	The Titanic sinks	the 1910s
187	1262	2011-12-27	FOOD PREPARATION	$600	Colorful cooking methods include browning & this one associated with Cajun cooking	blackening
188	1263	2011-12-27	LESSER-KNOWN AMERICANS	$600	In 1827 Joseph Dixon founded a factory to make stove polish & these from graphite	pencils
189	1264	2011-12-27	TIPS ON NETWORKING	$600	"Watch movies like ""Taken from Me: The Tiffany Rubin Story"" & ""Sins of the Mother"""	Lifetime
190	1265	2011-12-27	MUSICAL INSTRUMENTS	$800	"The theme song of ""Futurama"" features chimes, also known as tubular these"	bells
191	1266	2011-12-27	TALKING ITALIAN	$800	"I'm loony for ""lunedì"", this day of the week"	Monday
192	1267	2011-12-27	DECADES OF DISASTER	$800	Three Mile Island is the site of the worst commercial nuclear accident in U.S. history	the 1970s
193	1268	2011-12-27	FOOD PREPARATION	$800	Simmer short-grain rice seasoned with saffron in the broad, shallow pan that gives this Spanish dish its name	paella
