	index	Air Date	Category	Value	Question	Answer
26	41132	2008-12-31	THINGAMAJIGS	$1000	"Some kids call this huge machine a Roley , because that's the name of the one on ""Bob The Builder"""	a steamroller
27	41133	2008-12-31	ALL ABOUT PRESIDENTS	$1000	"I might worry about hanging around with him--he was nicknamed the ""Hangman of Buffalo"""	Grover Cleveland
28	41134	2008-12-31	FUNNY-SOUNDING FOOD	$1000	"From Yiddish for ""stuffed"", this dish is small pieces of whitefish, carp or pike mixed with seasonings"	gefilte fish
29	41135	2008-12-31	"""IT"" IS A 7-LETTER WORD"	$1000	"Nickname of Andrew Jackson's informal ""cabinet"", which included Martin Van Buren"	the Kitchen Cabinet
30	41136	2008-12-31	19th CENTURY FICTION	$400	This slave escapes with her son Harry across the ice floes of a river to reach the Ohio shore safely	Eliza
31	41137	2008-12-31	DRINKING SONGS	$400	"An Eagles song begins, ""It's another"" this mixed drink ""starin' slowly 'cross the sky"""	"""Tequila Sunrise"""
32	41138	2008-12-31	HOMOPHONIC NAMES	$400	Singer Natalie & Wisconsin senator Herb	Cole or Kohl
33	41139	2008-12-31	ROCKS & STONES	$400	"<a href=""http://www.j-archive.com/media/2008-12-31_DJ_16.jpg"" target=""_blank"">Balanced Rock</a> is a sandstone mass in the Garden of the Gods in this Western state"	Colorado
34	41140	2008-12-31	"""PAR"" FOR THE..."	$400	In geometry, a plane curve	a parabola
35	41141	2008-12-31	CORSICA	$400	"When visiting the capital, Ajaccio, be sure to see the birthplace of this emperor who was known as ""The Corsican"""	Napoleon
36	41142	2008-12-31	19th CENTURY FICTION	$800	"A miser becomes rich in the Washington Irving story titled him ""and Tom Walker"""	the Devil
37	41143	2008-12-31	DRINKING SONGS	$800	"In ""American Pie"", ""good old boys were drinking"" these 2 things"	whiskey & rye
38	41144	2008-12-31	HOMOPHONIC NAMES	$800	Musician John & world leader Vladimir	Lennon or Lenin
39	41145	2008-12-31	ROCKS & STONES	$800	Much of the stone of Yellowstone is tuff, formed from the ash or dust of these events	volcanic eruptions
40	41146	2008-12-31	"""PAR"" FOR THE..."	$800	"Some species of <a href=""http://www.j-archive.com/media/2008-12-31_DJ_02.jpg"" target=""_blank"">this</a> birdlike fish secrete a <a href=""http://www.j-archive.com/media/2008-12-31_DJ_02a.jpg"" target=""_blank"">mucus sac</a> around their bodies at night for shelter"	a parrotfish
41	41147	2008-12-31	CORSICA	$800	With a weak justice system, Corsica became known for this vengeful type of feud with an Italian name	a vendetta
42	41148	2008-12-31	19th CENTURY FICTION	$3,000	"Arrius is told that this Jewish slave aboard the Roman ship Astroea is ""our best rower"""	(Judah) Ben-Hur
43	41149	2008-12-31	DRINKING SONGS	$1200	"A Busta Rhymes song title is ""Pass"" this French cognac"	Courvoisier
44	41150	2008-12-31	HOMOPHONIC NAMES	$1200	Sandra of teenage movies & Chuck of political rap	Dee or D
45	41151	2008-12-31	ROCKS & STONES	$1200	"(<a href=""http://www.j-archive.com/media/2008-12-31_DJ_18.jpg"" target=""_blank"">Jimmy of the Clue Crew shows a carved artwork in Peru.</a>)  Hand-carved sculptures of <a href=""http://www.j-archive.com/media/2008-12-31_DJ_18a.jpg"" target=""_blank"">this</a> stone, a translucent variety of gypsum, are a mainstay of Peruvian handicrafts"	alabaster
46	41152	2008-12-31	"""PAR"" FOR THE..."	$1200	Similar grammatical form when dealing with several ideas is called this type of construction	parallel
47	41153	2008-12-31	CORSICA	$1200	In 1958 Corsica was occupied by those supporting the insurrection of colonists in this North African country	Algeria
48	41154	2008-12-31	19th CENTURY FICTION	$1600	"Jane Austen's sketch ""Elinor and Marianne"" developed into this 1811 novel"	Sense and Sensibility
49	41155	2008-12-31	DRINKING SONGS	$1600	"Where's the Tabasco? In 1974 Willie Nelson was having this type of ""morning"""	"a ""Bloody Mary Morning"""
50	41156	2008-12-31	HOMOPHONIC NAMES	$1600	Beautiful movie stars Janet & Gong	Leigh or Li
51	41157	2008-12-31	ROCKS & STONES	$1600	Knapping, chipping rock to shape tools, is usually done to this hard type of quartz	flint
52	41158	2008-12-31	"""PAR"" FOR THE..."	$1600	Excessively frugal or stingy	parsimonious
53	41159	2008-12-31	CORSICA	$2,000	The Strait of Bonifacio separates Corsica from this island to the south	Sardinia
54	41160	2008-12-31	19th CENTURY FICTION	$2000	"This amateur detective solves the mystery of ""The Purloined Letter"""	C. Auguste Dupin
55	41161	2008-12-31	DRINKING SONGS	$2000	"The Kinks met Lola ""in a club where you drink"" this & ""it tastes just like cherry cola"""	champagne
56	41162	2008-12-31	HOMOPHONIC NAMES	$2000	Philosopher George (though not the California city named for him) & Vice President Alben	Berkeley or Barkley
57	41163	2008-12-31	ROCKS & STONES	$2000	"Also beginning with C-A, it's the one-word name for the form of calcium carbonate seen <a href=""http://www.j-archive.com/media/2008-12-31_DJ_20.jpg"" target=""_blank"">here</a> as Iceland's spar"	calcite
58	41164	2008-12-31	"""PAR"" FOR THE..."	$2000	To measure how far away a star is using this, take 2 measurements, 6 months apart	parallax
59	41165	2008-12-31	CORSICA	$2000	In 259 B.C. Corsica was conquered by Rome in the first of these wars against Carthage	the Punic Wars
60	41166	2008-12-30	NEWS RADIO	$200	WBZ, based in this New England city, was one of the USA's first commercial radio stations	Boston
61	41167	2008-12-30	TRAFFIC	$200	In 1998, to improve auto traffic in this Asian capital, bikes were forbidden on Xisidong Ave.	Beijing
62	41168	2008-12-30	WEATHER	$200	In Death Valley it's the heat, not this, as this averages less than 5%	humidity
63	41169	2008-12-30	SPORTS ON THE 8s	$200	One explanation for this Laker's jersey switch from 8 to 24 was that 24 was his high school number	Kobe Bryant
64	41170	2008-12-30	"""KAR"""	$200	This unit of the fineness of gold is often spelled differently from the weight unit for gems	karat
65	41171	2008-12-30	1450 A.M. (MAKE THAT A.D.)	$200	As the year 1450 dawned on the Christian calendar, it was year 5210 on this one	the Hebrew
66	41172	2008-12-30	NEWS RADIO	$400	Carl Kasell reads the news on this NPR program, the USA's most-heard A.M. news magazine	Morning Edition
67	41173	2008-12-30	TRAFFIC	$400	"Ground professional who says things like ""Maintain two thousand, heading two two zero, runway 22 right"""	air traffic controller
68	41174	2008-12-30	WEATHER	$400	"North Central China has a climate like Kansas & also gets these choking ""storms"" in spring"	dust storms
69	41175	2008-12-30	SPORTS ON THE 8s	$400	In 2008 this NASCAR driver doubled up on his 8 & took the wheel of the 88 car; his dad could race some, too	Dale Earnhardt, Jr.
70	41176	2008-12-30	"""KAR"""	$400	"A company called Ace is a major maker of these machines--ooh, this one has ""Afternoon Delight"""	karaoke
71	41177	2008-12-30	1450 A.M. (MAKE THAT A.D.)	$400	In 1450 King Christian I of Denmark was also declared king of this other Scandinavian nation	Norway
72	41178	2008-12-30	NEWS RADIO	$600	The call letters of NYC's 1010 WINS stand for the International News Service of this 1930s newspaper tycoon	(William Randolph) Hearst
73	41179	2008-12-30	TRAFFIC	$600	"Traffic on the Internet can be measured by ""sniffing"" bunches of data collectively called these"	packets
74	41180	2008-12-30	WEATHER	$600	In the upslope type of this visibility killer, air rises enough to cool to its dew point, causing condensation	fog
75	41181	2008-12-30	SPORTS ON THE 8s	$600	"This legendary no. 8 for the Yankees said, ""When you come to a fork in the road...take it"""	Yogi Berra
76	41182	2008-12-30	"""KAR"""	$600	"It follows ""go"" in the name of a miniature racing car"	kart
77	41183	2008-12-30	1450 A.M. (MAKE THAT A.D.)	$600	With English defeats at Caen & Cherbourg, this long war was nearing its end by 1450	the Hundred Years' War
78	41184	2008-12-30	NEWS RADIO	$800	The U.S. has ABC news radio; so does this country, where you can listen on 99.9 FM from Tuggeranong	Australia
79	41185	2008-12-30	TRAFFIC	$800	"During the filming of ""Traffic"", this actress' real-life pregnancy was incorporated into her role"	Catherine Zeta-Jones
80	41186	2008-12-30	WEATHER	$800	"The photo seen <a href=""http://www.j-archive.com/media/2008-12-30_J_04.jpg"" target=""_blank"">here</a> captures a devastating 2007 one of these, also the title of a 1997 film"	ice storm
81	41187	2008-12-30	SPORTS ON THE 8s	$800	Last name of the QB who wore no. 8 for the Saints; his sons have had more NFL success wearing 18 & 10	(Archie) Manning
82	41188	2008-12-30	"""KAR"""	$800	In Eastern religion, the total effect of your actions in various existences	karma
83	41189	2008-12-30	1450 A.M. (MAKE THAT A.D.)	$800	In 1450 he teamed up with investor Johann Fust with the intention of printing books	Gutenberg
84	41190	2008-12-30	NEWS RADIO	$1000	"""As It Happens"", produced by this network, campaigns for official status for the beaver"	the Canadian Broadcasting Corporation
85	41191	2008-12-30	TRAFFIC	$1000	In 1910 Congress passed the White Slave Traffic Act named for this Illinois representative	Mann
86	41192	2008-12-30	WEATHER	$800	Legend says after pitcher Denton Young warmed up against a fence, someone said the fence looked like this had hit it	a cyclone
87	41193	2008-12-30	SPORTS ON THE 8s	$1000	"Not an '80s British synth-pop group, this ""Yaz"" who wore No. 8 won the A.L.'s 1967 Triple Crown"	Carl Yastrzemski
88	41194	2008-12-30	"""KAR"""	$1000	In 1959 this conductor headed the Berlin Philharmonic, Salzburg Festival & Vienna State Opera	Herbert von Karajan
89	41195	2008-12-30	1450 A.M. (MAKE THAT A.D.)	$1000	The University of this port city, today Spain's second largest, was founded in 1450	Barcelona
90	41196	2008-12-30	MYTHOLOGY & ART	$400	At the Uffizi in Florence, you can drink in Caravaggio's painting of this Roman god of wine	Bacchus
91	41197	2008-12-30	A STUDY IN SCARLETT JOHANSSON	$400	In 2004 Scarlett hit the Krusty Krab as the voice of Mindy the mermaid in this title guy's movie	SpongeBob SquarePants
92	41198	2008-12-30	"""GREAT"" GEOGRAPHY"	$400	4,406-foot Ben Nevis is the highest point of this, Europe's largest island	Great Britain
93	41199	2008-12-30	SEASONS	$400	Also the title of a 2006 animated film, this term refers to the time when it's legal to hunt or catch game or fish	open season
94	41200	2008-12-30	THE JOY OF TEXT	$400	D.H. Donald's biography of this 19th century president made it onto a list of Bill Clinton's favorite books	Abraham Lincoln
95	41201	2008-12-30	FRENCH WORDS	$400	The Left Bank of the Seine is the Rive this	Gauche
96	41202	2008-12-30	MYTHOLOGY & ART	$800	In paintings by Velazquez & Veronese, this Roman metalsmith is seen working in his forge	Vulcan
97	41203	2008-12-30	A STUDY IN SCARLETT JOHANSSON	$800	As the face of this French luxury bag co., Scarlett may have had to clobber a few people selling knockoffs	Louis Vuitton
98	41204	2008-12-30	"""GREAT"" GEOGRAPHY"	$4,000	Some parts of this natural wonder have been invaded by crown-of-thorns starfish, which feed on polyps	the Great Barrier Reef
99	41205	2008-12-30	SEASONS	$800	"The official 2003 White House Christmas card mentions this ""season"""	the holiday season
100	41206	2008-12-30	THE JOY OF TEXT	$800	"The book ""Enola Gay"" by Gordon Thomas & Max Morgan-Witts is subtitled ""Mission To"" this Japanese city"	Hiroshima
101	41207	2008-12-30	FRENCH WORDS	$800	"""Windmill"" in French; there's a famous red (rouge) one"	moulin
102	41208	2008-12-30	MYTHOLOGY & ART	$3,400	In a painting by Luca Giordano, Perseus turns an angry mob to stone by holding up this	Medusa's head
103	41209	2008-12-30	A STUDY IN SCARLETT JOHANSSON	$1200	In 1997 Macaulay Culkin was out of the third entry in this film series, but Scarlett was in, as Molly	Home Alone
104	41210	2008-12-30	"""GREAT"" GEOGRAPHY"	$1200	Major peaks in this range include Mount Sterling in North Carolina & Chimney Tops in Tennessee	the Great Smoky Mountains
105	41211	2008-12-30	SEASONS	$1200	In the Atlantic it lasts from June 1 to November 30 & includes tropical storms as well	hurricane season
106	41212	2008-12-30	THE JOY OF TEXT	$1200	"Pick up one of the most famous self-help books of all time, Dale Carnegie's ""How To Win Friends And"" do this"	Influence People
107	41213	2008-12-30	FRENCH WORDS	$1200	"There's a Cafe du this, ""the world"", in New Orleans"	monde
108	41214	2008-12-30	MYTHOLOGY & ART	$1600	A sculpture by Ammanati shows her cozying up to a swan	Leda
109	41215	2008-12-30	A STUDY IN SCARLETT JOHANSSON	$1600	Scarlett provided child care for the Xs (Paul Giamatti & Laura Linney) in this 2007 film	The Nanny Diaries
110	41216	2008-12-30	"""GREAT"" GEOGRAPHY"	$1600	Uranium mined from this Canadian Arctic lake with an animal name was used to make the WWII atomic bombs	Great Bear Lake
111	41217	2008-12-30	SEASONS	$1600	Though it's 3 to 4 weeks before the start of summer, this holiday is often said to begin the summer driving season	Memorial Day
112	41218	2008-12-30	THE JOY OF TEXT	$1600	"Played by Robin Williams on film, he wrote the bestseller ""Gesundheit: Good Health Is A Laughing Matter"""	Patch Adams
113	41219	2008-12-30	FRENCH WORDS	$1600	"It's the French word for ""apple""; a potato is one ""de terre"""	a pomme
114	41220	2008-12-30	MYTHOLOGY & ART	$2000	"(<a href=""http://www.j-archive.com/media/2008-12-30_DJ_06.jpg"" target=""_blank"">Jon of the Clue Crew shows a painting on the monitor.</a>)  In Botticelli's ""The Birth of Venus"", you can see that Venus is being blown ashore by <a href=""http://www.j-archive.com/media/2008-12-30_DJ_06.jpg"" target=""_blank"">this</a> West Wind"	Zephyr
115	41221	2008-12-30	A STUDY IN SCARLETT JOHANSSON	$2000	Scarlett is the Cristina of this 2008 Woody Allen film in which a love triangle becomes a love square	Vicky Cristina Barcelona
116	41222	2008-12-30	"""GREAT"" GEOGRAPHY"	$2000	Australia's largest desert, it was first crossed in 1875 by Ernest Giles & named for a monarch	(Great) Victoria
117	41223	2008-12-30	SEASONS	$2000	In Britain this alliterative period when debutantes come out includes Royal Ascot & the Henley Regatta	the social season
118	41224	2008-12-30	THE JOY OF TEXT	$2000	"In books like ""The Way of Zen"", this man did much to introduce Buddhism to the United States"	Alan Watts
119	41225	2008-12-30	FRENCH WORDS	$2000	"French for ""umbrella"", its name comes in part from the French word for ""rain"""	parapluie
120	41226	2008-12-29	WHERE AM I?	$200	"(<a href=""http://www.j-archive.com/media/2008-12-29_J_26.jpg"" target=""_blank"">Sarah of the Clue Crew reports from next to a fighter jet.</a>) I'm at Nellis Air Force Base, just 8 miles from this city's downtown; in the 1940s, the site was chosen for the vast desert wasteland in the area"	Las Vegas
121	41227	2008-12-29	YOUR 5-CLUE NEWSCAST	$200	Our top story... in Aug. 2008 the GAO reported this troubled Mideast country could have a $79 billion budget surplus	Iraq
122	41228	2008-12-29	A MUSICAL MENU	$200	"A meaty leg of turkey, or ""The Original Sundae Cone"""	a drumstick
123	41229	2008-12-29	DO YOU KNOW JACK ABOUT LIT?	$200	"In ""Patriot Games"" this character stops Irish terrorists & joins the CIA"	(Jack) Ryan
124	41230	2008-12-29	"CROSSWORD CLUES ""L"""	$200	Any new car that breaks down 60 times a day (5)	a lemon
125	41231	2008-12-29	MR. & MRS. MALAPROP	$200	"""The prostitution rests"", Kelly Bundy declared during a trial scene on this long-running show"	Married...With Children
126	41232	2008-12-29	WHERE AM I?	$400	"(<a href=""http://www.j-archive.com/media/2008-12-29_J_27.jpg"" target=""_blank"">Jimmy of the Clue Crew reports from Michigan.</a>) I'm not at Gerald R. Ford's presidential library in Ann Arbor, but at his museum in this city, Michigan's second largest"	Grand Rapids
127	41233	2008-12-29	YOUR 5-CLUE NEWSCAST	$400	In domestic news, this Speaker of the House touted 2008's American Housing Rescue & Foreclosure Prevention Act	Nancy Pelosi
128	41234	2008-12-29	A MUSICAL MENU	$400	General Mills makes this snack with an unusual funnel shape in 6 flavors	Bugles
129	41235	2008-12-29	DO YOU KNOW JACK ABOUT LIT?	$400	"In this novel Jack Merridew, a red-haired choir boy, tells Piggy, ""You're talking too much!"""	Lord of the Flies
130	41236	2008-12-29	"CROSSWORD CLUES ""L"""	$400	A lariat's shorter name (5)	a lasso
131	41237	2008-12-29	MR. & MRS. MALAPROP	$400	"""I am your density"", George tells wife-to-be Lorraine in this 1985 Michael J. Fox film"	Back to the Future
132	41238	2008-12-29	WHERE AM I?	$600	"(<a href=""http://www.j-archive.com/media/2008-12-29_J_28.jpg"" target=""_blank"">Sarah of the Clue Crew reports from Washington, D.C.</a>) I'm at the National Sustainability Design Expo on this great space, known as America's Common"	the Mall in Washington, D.C.
133	41239	2008-12-29	YOUR 5-CLUE NEWSCAST	$600	At the movies, in July 2008 this flick made $158 milIion in its opening weekend; holy box office!	The Dark Knight
134	41240	2008-12-29	A MUSICAL MENU	$1,000	This ConAgra sweet popcorn treat comes in butter toffee & caramel flavors	Fiddle Faddle
135	41241	2008-12-29	DO YOU KNOW JACK ABOUT LIT?	$600	"Ralph Ellison writes in this novel that the one-eyed Brother Jack was ""a little bantam rooster of a man"""	Invisible Man
136	41242	2008-12-29	"CROSSWORD CLUES ""L"""	$600	Entice, perhaps with artificial bait (4)	lure
137	41243	2008-12-29	MR. & MRS. MALAPROP	$600	"This veep said, ""Republicans understand the importance of bondage between a mother and child"""	Dan Quayle
138	41244	2008-12-29	WHERE AM I?	$800	"(<a href=""http://www.j-archive.com/media/2008-12-29_J_29.jpg"" target=""_blank"">Kelly of the Clue Crew reports from a New Mexico amphitheater.</a>)  I'm at this New Mexico national park, where every night from April to October 300,000 to 400,000 hungry flying mammals delight the crowds with an amazing bat flight"	Carlsbad Caverns
139	41245	2008-12-29	YOUR 5-CLUE NEWSCAST	$800	In business: the 158-year-old Wall Street firm named for these brothers went belly-up in September 2008	Lehman Brothers
140	41246	2008-12-29	A MUSICAL MENU	$800	To soak up some of the food, let's quaff this golden Irish lager	Harp
141	41247	2008-12-29	DO YOU KNOW JACK ABOUT LIT?	$800	Patrick O'Brian wrote this series of novels about British Capt. Jack Aubrey; Russell Crowe played the role on film	Master and Commander
142	41248	2008-12-29	"CROSSWORD CLUES ""L"""	$800	"""Mother"" deposit, in mining (4)"	a lode
143	41249	2008-12-29	MR. & MRS. MALAPROP	$800	"On ""All in the Family"", Edith Bunker referred not to V-E Day or V-J Day but this, um, relative"	VD Day
144	41250	2008-12-29	WHERE AM I?	$1000	"(<a href=""http://www.j-archive.com/media/2008-12-29_J_30.jpg"" target=""_blank"">Jon of the Clue Crew reports from Mississippi.</a>) I'm at Rowan Oak, William Faulkner's home of 32 years in this town in Mississippi"	Oxford
145	41251	2008-12-29	YOUR 5-CLUE NEWSCAST	$1000	Now for a look at the weather; expect these dense 12-letter thunderclouds stretching from 6,500' to 30,000'	cumulonimbus
146	41252	2008-12-29	A MUSICAL MENU	$1000	This Scandinavian specialty is made with unsalted dried cod soaked for several days in water & potash lye	lutefisk
147	41253	2008-12-29	DO YOU KNOW JACK ABOUT LIT?	$1000	Gov. Jack Stanton, the main character in this 1996 Joe Klein book, was loosely based on Bill Clinton	Primary Colors
148	41254	2008-12-29	"CROSSWORD CLUES ""L"""	$1000	"Accolades one might ""rest on"" (7)"	laurels
149	41255	2008-12-29	MR. & MRS. MALAPROP	$1000	"""I'm not going to make a skeptical out of my boxing career"", said this skater-turned-felon-turned-pugilist in 2004"	Tonya Harding
150	41256	2008-12-29	BOTANY	$400	The anther of a flower usually has 4 sacs that produce this	pollen
151	41257	2008-12-29	"""QUO""POURRI"	$400	When 4 goes into 12, 3 is this	the quotient
152	41258	2008-12-29	BIRTH, ART, DEATH	$400	"Born Aug. 6, 1928 in Pittsburgh, ""Mao"", died Feb. 22, 1987"	Andy Warhol
153	41259	2008-12-29	AMERICANA	$400	The uniform that Harry Truman wore during his military service in this war is in his presidential library	World War I
154	41260	2008-12-29	SUSAN B. ANTHONY	$400	The $1 coin featuring Susan B. Anthony's likeness was first minted in this decade	the 1970s
155	41261	2008-12-29	SPORTS CAST	$400	In 1986, '87 & '88, Jose Canseco, Mark McGwire & Walt Weiss won Rookie of the Year playing for this team	the Oakland A's
156	41262	2008-12-29	BOTANY	$800	Also called ling, this shrub that grows in the moors of Britain is often mentioned in Scottish songs	the heather
157	41263	2008-12-29	"""QUO""POURRI"	$800	"Did this ""the raven, 'nevermore""'"	quoth
158	41264	2008-12-29	BIRTH, ART, DEATH	$800	"Born 1606 in the Netherlands, ""The Anatomy Lesson of Dr. Tulp"", died 1669"	Rembrandt
159	41265	2008-12-29	AMERICANA	$800	If you take a swamp tour in Louisiana, you may see the American type of this, Louisiana's state reptile	an alligator
160	41266	2008-12-29	SUSAN B. ANTHONY	$800	Susan was fined for illegally voting in 1872--she cast her ballot for this president who was re-elected	Ulysses Grant
161	41267	2008-12-29	SPORTS CAST	$800	Muhammad Ali regained his title from George Foreman by employing this rhyming ring strategy	rope-a-dope
162	41268	2008-12-29	BOTANY	$1200	Harison's Yellow is a hybrid of the Persian Yellow & Scotch Briar varieties of this flower	a rose
163	41269	2008-12-29	"""QUO""POURRI"	$1200	2-word term for the same old, same old	the status quo
164	41270	2008-12-29	BIRTH, ART, DEATH	$1200	"Born 1834 in Massachusetts, ""Arrangement in Grey and Black, No. 2: Thomas Carlyle"",  died 1903"	Whistler
165	41271	2008-12-29	AMERICANA	$1200	"""There's no place like"" this town for the annual Miners & Mushers ball"	Nome
166	41272	2008-12-29	SUSAN B. ANTHONY	$1200	14 years after her death, the movement created by Susan won passage of this women's voting amendment	the 19th
167	41273	2008-12-29	SPORTS CAST	$1200	This 9-time U.S. & 5-time world champion figure skater got her start after seeing her brother play hockey	Michelle Kwan
168	41274	2008-12-29	BOTANY	$1600	This plant has blue flowers; the black candy that uses it comes from the roots & root stems	licorice
169	41275	2008-12-29	"""QUO""POURRI"	$1600	Old British game that's the ancestor of horseshoes	quoits
170	41276	2008-12-29	BIRTH, ART, DEATH	$1600	"Born 1912 in Wyoming, ""Lavender Mist"",  died 1956 in East Hampton, New York"	Pollock
171	41277	2008-12-29	AMERICANA	$1600	A mule driver in Uzbekistan sent in 21 cents to help fund National Mule memorial in Muleshoe in this big state	Texas
172	41278	2008-12-29	SPORTS CAST	$1600	At the age of 41 she competed in her fifth Olympic Games, the most of any U.S. swimmer	Dara Torres
173	41279	2008-12-29	BOTANY	$1,000	The beard species of this symbiotic plant is often confused with Spanish moss	lichen
174	41280	2008-12-29	"""QUO""POURRI"	$1,000	1951 epic in which the lions take on the Christians in Rome; lions give 'em a real licking	Quo Vadis
175	41281	2008-12-29	BIRTH, ART, DEATH	$2000	"Born 1859 in Paris,  ""A Sunday Afternoon on the Island of La Grande Jatte"" died 1891"	(Georges) Seurat
176	41282	2008-12-29	AMERICANA	$2000	This Iowa city was named for a French Canadian, the first white man to settle permanently in what is now Iowa	Dubuque
177	41283	2008-12-29	SPORTS CAST	$2000	"This racer who wrote the memoir ""Every Second Counts"" used a wind tunnel in training to minimize his drag"	Lance Armstrong
178	41284	2008-12-26	THE CONSTITUTION TODAY	$200	"The courts have wrestled with whether this writ that ""shall not be suspended"" applies to Guantanamo"	habeas corpus
179	41285	2008-12-26	SINGERS' RHYME TIME	$200	Motown legend Stevie's foolish mistakes	Wonder's blunders
180	41286	2008-12-26	NUMERICAL PHRASES	$200	He, she & they are this kind of pronoun	third person
181	41287	2008-12-26	GLASS & GLASSMAKING	$200	Photochromic glass used in eyeglasses does this when exposed to sunlight	darken
182	41288	2008-12-26	"""MO"" BETTER"	$200	God's name of Yahweh was first announced to this man	Moses
183	41289	2008-12-26	FAMOUS RAYS	$200	In 1954 industrial designer Raymond Loewy redesigned the iconic shape of this soft drink's bottle	Coke
184	41290	2008-12-26	THE CONSTITUTION TODAY	$400	It's paired with conviction in Article II, Section 4, & unpopular presidents start to hear talk of it	impeachment
185	41291	2008-12-26	SINGERS' RHYME TIME	$400	"Reggae man Bob's ""hogs"""	Marley's Harleys
186	41292	2008-12-26	NUMERICAL PHRASES	$400	Numerical term for a burglar who specializes in breaking into buildings through upstairs windows	second-story men
187	41293	2008-12-26	GLASS & GLASSMAKING	$400	In 1882 Edward Johnson, a partner of this inventor, put the first string of glass lights on a Christmas tree	Edison
188	41294	2008-12-26	"""MO"" BETTER"	$400	It's a bike race over muddy terrain	motocross
189	41295	2008-12-26	FAMOUS RAYS	$400	One of the great jazz trios had Oscar Peterson on piano, Ed Thigpen on drums & Ray Brown plucking this	bass
190	41296	2008-12-26	THE CONSTITUTION TODAY	$600	"A 2008 ruling affirmed the right ""to be confronted with"" these--if they're dead, too bad for the prosecution"	witnesses
191	41297	2008-12-26	SINGERS' RHYME TIME	$600	Blues-rock singer Bonnie's wooden boxes	Raitt's crates
